date,sensor_id,zone_id,ground_moisture,temperature,humidity,pH,nutrient_N,nutrient_P,nutrient_K
2024-01-10,S1_1,zone_1,10.0,14.84,73.52,6.29,22.13,29.61,166.63
2024-01-11,S1_1,zone_1,10.0,18.1,76.97,5.99,22.5,28.54,185.65
2024-01-12,S1_1,zone_1,10.0,13.99,81.15,6.09,23.24,27.48,183.59
2024-01-13,S1_1,zone_1,10.0,11.31,75.57,6.35,22.44,24.19,148.48
2024-01-14,S1_1,zone_1,10.0,12.7,75.85,6.42,22.5,27.23,159.69
2024-01-15,S1_1,zone_1,10.0,16.76,81.85,6.3,21.81,26.33,183.15
2024-01-16,S1_1,zone_1,10.0,9.9,74.48,6.49,21.77,24.57,196.37
2024-01-17,S1_1,zone_1,10.0,8.43,71.77,6.28,22.66,25.31,162.77
2024-01-18,S1_1,zone_1,10.0,9.69,74.17,6.19,22.27,25.59,154.72
2024-01-19,S1_1,zone_1,12.23,16.26,76.63,6.37,21.21,24.97,174.7
2024-01-20,S1_1,zone_1,10.21,11.18,69.56,6.18,21.99,33.49,171.35
2024-01-21,S1_1,zone_1,10.0,9.11,71.8,6.32,21.52,31.77,182.81
2024-01-22,S1_1,zone_1,10.0,12.03,81.06,6.31,21.34,21.11,168.25
2024-01-23,S1_1,zone_1,10.0,18.02,76.88,6.06,21.19,25.24,183.87
2024-01-24,S1_1,zone_1,13.31,10.28,83.0,6.03,21.41,23.85,170.41
2024-01-25,S1_1,zone_1,11.8,16.33,72.79,6.19,22.42,23.02,172.61
2024-01-26,S1_1,zone_1,10.64,16.99,92.57,6.35,21.95,28.93,187.67
2024-01-27,S1_1,zone_1,10.0,14.82,58.28,5.92,19.79,26.91,185.1
2024-01-28,S1_1,zone_1,10.0,10.46,86.17,5.85,18.94,26.71,195.57
2024-01-29,S1_1,zone_1,10.0,14.28,75.27,6.25,15.77,28.59,180.5
2024-01-30,S1_1,zone_1,12.07,7.38,72.02,6.25,16.85,25.97,155.18
2024-01-31,S1_1,zone_1,12.67,15.22,65.45,6.11,15.75,27.14,173.64
2024-02-01,S1_1,zone_1,10.09,13.26,67.78,6.09,15.26,18.85,189.74
2024-02-02,S1_1,zone_1,10.0,14.16,85.15,6.39,16.58,20.04,161.6
2024-02-03,S1_1,zone_1,11.0,10.35,72.58,6.13,18.28,26.89,176.52
2024-02-04,S1_1,zone_1,10.0,9.7,75.69,6.11,19.81,25.51,201.1
2024-02-05,S1_1,zone_1,10.0,11.63,82.47,6.01,19.85,30.04,162.12
2024-02-06,S1_1,zone_1,10.0,18.89,74.66,6.22,17.16,34.34,173.07
2024-02-07,S1_1,zone_1,10.0,6.9,75.0,5.84,16.05,26.17,172.62
2024-02-08,S1_1,zone_1,10.0,18.7,69.99,6.3,17.22,23.71,164.08
2024-02-09,S1_1,zone_1,10.0,15.38,60.7,6.11,17.31,25.47,200.63
2024-02-10,S1_1,zone_1,10.0,9.33,77.06,6.22,18.6,32.39,156.4
2024-02-11,S1_1,zone_1,10.0,13.34,87.94,6.38,17.05,25.6,181.85
2024-02-12,S1_1,zone_1,10.0,9.87,72.13,6.08,17.53,28.18,183.65
2024-02-13,S1_1,zone_1,10.0,15.06,95.0,6.07,17.67,35.0,157.85
2024-02-14,S1_1,zone_1,10.0,16.74,82.34,6.17,18.57,31.8,181.89
2024-02-15,S1_1,zone_1,10.53,10.88,75.49,6.06,18.76,28.55,143.92
2024-02-16,S1_1,zone_1,10.0,13.44,73.65,6.18,18.24,25.27,221.16
2024-02-17,S1_1,zone_1,10.0,12.79,62.9,6.22,16.99,31.9,200.6
2024-02-18,S1_1,zone_1,10.0,10.83,63.78,6.49,16.18,28.59,167.78
2024-02-19,S1_1,zone_1,10.0,15.21,83.44,6.13,14.71,24.24,190.57
2024-02-20,S1_1,zone_1,10.0,10.7,82.16,6.09,15.19,28.01,183.96
2024-02-21,S1_1,zone_1,10.0,11.28,86.84,5.99,15.74,17.01,161.42
2024-02-22,S1_1,zone_1,10.0,13.85,76.34,6.19,16.57,34.02,152.1
2024-02-23,S1_1,zone_1,10.0,12.74,85.67,6.06,17.41,27.69,166.06
2024-02-24,S1_1,zone_1,10.0,11.68,82.56,6.21,17.95,28.92,200.55
2024-02-25,S1_1,zone_1,10.0,8.75,74.79,6.32,16.75,29.34,173.83
2024-02-26,S1_1,zone_1,10.0,12.49,68.51,6.2,16.53,29.34,173.06
2024-02-27,S1_1,zone_1,10.0,13.82,68.32,6.2,17.38,23.13,140.4
2024-02-28,S1_1,zone_1,10.0,15.73,74.9,6.19,16.0,28.8,169.58
2024-02-29,S1_1,zone_1,10.0,18.5,85.33,6.22,15.71,21.48,188.78
2024-03-01,S1_1,zone_1,10.0,16.85,65.84,6.14,15.71,26.47,159.67
2024-03-02,S1_1,zone_1,10.0,23.42,75.33,6.19,15.21,26.19,131.58
2024-03-03,S1_1,zone_1,10.0,25.24,72.92,5.98,17.05,32.67,186.04
2024-03-04,S1_1,zone_1,10.0,11.29,51.54,6.26,16.97,20.88,207.06
2024-03-05,S1_1,zone_1,10.0,13.67,75.41,6.34,19.43,18.47,171.63
2024-03-06,S1_1,zone_1,10.0,17.42,52.95,6.05,18.25,28.51,164.1
2024-03-07,S1_1,zone_1,10.0,26.08,77.98,6.11,18.97,24.56,165.64
2024-03-08,S1_1,zone_1,10.0,12.19,55.8,6.12,18.62,31.79,193.84
2024-03-09,S1_1,zone_1,10.0,13.99,58.02,6.21,16.44,21.84,171.83
2024-03-10,S1_1,zone_1,10.0,17.22,60.12,6.48,15.25,25.03,180.89
2024-03-11,S1_1,zone_1,10.0,17.21,67.11,6.08,15.6,33.2,138.5
2024-03-12,S1_1,zone_1,10.0,17.78,57.55,6.1,16.38,23.41,173.68
2024-03-13,S1_1,zone_1,10.0,9.81,59.71,6.11,15.65,29.72,162.91
2024-03-14,S1_1,zone_1,10.0,13.55,64.33,6.18,15.83,30.34,156.41
2024-03-15,S1_1,zone_1,10.0,11.55,71.14,6.33,15.19,21.89,158.4
2024-03-16,S1_1,zone_1,10.0,12.63,58.56,6.39,17.69,26.43,190.69
2024-03-17,S1_1,zone_1,10.0,28.01,61.99,6.09,19.62,22.1,174.5
2024-03-18,S1_1,zone_1,10.0,18.92,74.44,6.44,19.27,25.39,161.92
2024-03-19,S1_1,zone_1,10.0,10.29,61.33,6.11,30.53,24.61,161.06
2024-03-20,S1_1,zone_1,10.0,21.97,75.56,6.16,29.9,26.28,164.39
2024-03-21,S1_1,zone_1,10.0,24.0,68.71,6.24,28.53,28.41,151.18
2024-03-22,S1_1,zone_1,10.0,25.79,68.55,5.85,29.26,21.25,183.79
2024-03-23,S1_1,zone_1,10.0,24.31,65.44,6.03,28.4,27.31,191.49
2024-03-24,S1_1,zone_1,10.0,18.83,62.09,6.12,28.12,26.21,166.9
2024-03-25,S1_1,zone_1,10.0,17.67,57.62,5.88,28.61,28.55,178.27
2024-03-26,S1_1,zone_1,10.0,15.8,44.96,6.32,28.55,23.07,151.6
2024-03-27,S1_1,zone_1,10.0,20.84,58.47,6.09,27.44,24.43,154.02
2024-03-28,S1_1,zone_1,10.0,14.67,69.79,6.45,26.38,30.17,163.16
2024-03-29,S1_1,zone_1,10.0,24.11,72.5,6.03,28.72,21.06,172.7
2024-03-30,S1_1,zone_1,10.0,13.87,66.94,6.47,28.0,28.23,142.81
2024-03-31,S1_1,zone_1,10.0,14.48,63.77,6.1,26.23,31.24,144.23
2024-04-01,S1_1,zone_1,10.0,10.24,68.26,6.35,27.88,25.3,176.68
2024-04-02,S1_1,zone_1,10.0,16.43,71.23,5.99,27.48,24.67,182.98
2024-04-03,S1_1,zone_1,10.0,13.7,73.91,6.1,30.59,24.33,163.87
2024-04-04,S1_1,zone_1,10.0,16.34,62.81,6.14,30.28,24.14,194.05
2024-04-05,S1_1,zone_1,10.0,22.71,76.82,5.99,29.27,23.17,159.35
2024-04-06,S1_1,zone_1,10.0,15.99,72.2,6.12,28.79,26.53,194.57
2024-04-07,S1_1,zone_1,10.0,10.02,56.33,6.11,29.45,26.88,173.49
2024-04-08,S1_1,zone_1,10.0,19.75,55.55,6.3,29.53,17.51,186.5
2024-04-09,S1_1,zone_1,10.0,18.56,67.04,6.15,28.72,26.84,170.96
2024-04-10,S1_1,zone_1,12.2,19.83,86.93,6.19,30.42,30.0,196.43
2024-04-11,S1_1,zone_1,10.0,23.25,81.92,6.16,29.76,23.45,183.25
2024-04-12,S1_1,zone_1,10.0,23.23,67.52,6.18,28.23,24.74,192.05
2024-04-13,S1_1,zone_1,10.0,21.99,68.49,5.98,29.76,20.6,175.02
2024-04-14,S1_1,zone_1,10.0,20.52,78.81,6.13,30.0,28.2,186.52
2024-04-15,S1_1,zone_1,10.0,22.18,66.59,6.23,31.74,24.46,156.6
2024-04-16,S1_1,zone_1,10.0,17.62,65.11,6.37,32.96,26.79,160.29
2024-04-17,S1_1,zone_1,10.0,24.37,66.32,5.99,33.05,26.66,184.93
2024-04-18,S1_1,zone_1,10.0,13.55,76.29,6.38,33.9,25.83,149.64
2024-04-19,S1_1,zone_1,10.0,15.37,53.63,6.57,34.83,21.13,174.27
2024-04-20,S1_1,zone_1,10.0,22.73,71.17,6.27,34.0,26.02,122.81
2024-04-21,S1_1,zone_1,10.0,20.69,78.09,6.25,34.63,28.13,179.05
2024-04-22,S1_1,zone_1,10.0,18.13,70.43,6.6,32.51,27.35,187.75
2024-04-23,S1_1,zone_1,10.0,16.82,81.82,6.16,32.66,21.54,168.63
2024-04-24,S1_1,zone_1,10.0,22.13,63.48,6.06,34.07,19.75,191.81
2024-04-25,S1_1,zone_1,10.0,23.39,65.83,6.54,32.64,24.81,192.75
2024-04-26,S1_1,zone_1,10.0,16.15,74.03,6.24,33.65,29.72,202.71
2024-04-27,S1_1,zone_1,10.0,17.82,60.5,6.33,34.36,23.94,174.49
2024-04-28,S1_1,zone_1,10.0,11.81,64.0,5.99,35.26,22.25,143.4
2024-04-29,S1_1,zone_1,10.0,19.11,78.57,6.34,36.66,25.33,167.75
2024-04-30,S1_1,zone_1,10.0,21.31,67.39,6.22,38.49,25.98,159.28
2024-05-01,S1_1,zone_1,10.0,23.49,66.03,6.01,36.66,25.8,131.96
2024-05-02,S1_1,zone_1,10.0,25.32,60.91,6.25,35.87,30.51,164.03
2024-05-03,S1_1,zone_1,10.0,21.74,68.06,6.34,36.64,35.0,154.61
2024-05-04,S1_1,zone_1,10.0,12.59,51.28,6.21,36.38,26.96,142.39
2024-05-05,S1_1,zone_1,10.0,19.93,72.19,5.73,36.37,22.98,187.01
2024-05-06,S1_1,zone_1,10.0,23.2,57.69,6.22,36.96,24.57,168.05
2024-05-07,S1_1,zone_1,10.0,28.3,70.85,6.3,36.0,24.62,180.03
2024-05-08,S1_1,zone_1,10.0,23.27,51.33,6.1,34.9,24.16,170.18
2024-05-09,S1_1,zone_1,10.0,15.59,80.01,6.23,35.51,25.69,203.24
2024-05-10,S1_1,zone_1,10.0,12.43,72.49,6.14,34.72,29.52,195.35
2024-05-11,S1_1,zone_1,10.0,25.46,72.1,6.07,36.28,23.09,159.44
2024-05-12,S1_1,zone_1,10.0,24.51,71.74,6.05,37.35,32.16,177.28
2024-05-13,S1_1,zone_1,10.0,23.45,82.5,6.39,37.92,27.67,181.8
2024-05-14,S1_1,zone_1,10.0,20.57,71.12,6.29,36.57,29.38,175.3
2024-05-15,S1_1,zone_1,10.0,16.25,70.1,6.36,37.13,22.45,148.65
2024-05-16,S1_1,zone_1,10.0,13.8,71.95,6.29,38.78,29.7,150.68
2024-05-17,S1_1,zone_1,10.0,13.87,67.4,6.36,40.01,24.28,167.35
2024-05-18,S1_1,zone_1,10.0,16.85,70.36,6.24,39.86,24.12,176.53
2024-05-19,S1_1,zone_1,10.0,21.74,71.66,6.32,40.02,30.95,160.27
2024-05-20,S1_1,zone_1,10.0,15.02,62.51,6.34,39.54,25.17,175.07
2024-05-21,S1_1,zone_1,10.0,19.71,66.13,6.28,40.32,31.25,177.15
2024-05-22,S1_1,zone_1,10.0,14.08,71.08,6.36,42.26,29.17,176.88
2024-05-23,S1_1,zone_1,10.0,27.65,70.86,6.29,42.19,23.69,153.89
2024-05-24,S1_1,zone_1,10.0,17.79,62.88,6.24,42.31,23.79,187.03
2024-05-25,S1_1,zone_1,10.0,25.37,62.59,6.01,43.59,28.33,175.71
2024-05-26,S1_1,zone_1,10.0,22.25,74.36,6.44,44.01,27.75,154.31
2024-05-27,S1_1,zone_1,10.0,23.75,65.62,6.0,45.51,18.72,171.79
2024-05-28,S1_1,zone_1,10.0,20.27,65.22,6.38,45.2,28.85,141.61
2024-05-29,S1_1,zone_1,10.0,15.49,67.21,6.24,46.17,22.64,183.66
2024-05-30,S1_1,zone_1,10.0,20.34,67.22,6.06,47.41,23.17,198.05
2024-05-31,S1_1,zone_1,10.0,13.3,68.03,6.02,45.02,25.53,157.88
2024-06-01,S1_1,zone_1,10.0,31.45,46.62,5.91,45.58,26.12,174.97
2024-06-02,S1_1,zone_1,10.0,20.99,51.45,6.25,45.65,20.57,154.67
2024-06-03,S1_1,zone_1,10.0,30.81,67.91,6.21,44.09,32.88,148.45
2024-06-04,S1_1,zone_1,10.0,34.21,58.97,6.15,45.13,26.31,155.31
2024-06-05,S1_1,zone_1,10.0,32.83,64.08,6.1,47.35,24.67,191.64
2024-06-06,S1_1,zone_1,10.0,31.9,65.36,6.25,47.9,25.75,151.63
2024-06-07,S1_1,zone_1,10.0,24.56,44.52,6.04,46.25,30.51,162.08
2024-06-08,S1_1,zone_1,10.0,24.37,62.34,6.04,46.45,22.54,137.27
2024-06-09,S1_1,zone_1,10.0,22.34,46.34,6.15,45.68,27.34,160.67
2024-06-10,S1_1,zone_1,10.0,23.87,56.24,6.28,44.57,23.81,181.12
2024-06-11,S1_1,zone_1,10.0,35.34,59.57,6.38,43.41,27.11,209.45
2024-06-12,S1_1,zone_1,10.0,29.22,57.76,5.86,43.58,21.35,159.5
2024-06-13,S1_1,zone_1,10.0,20.72,78.52,6.06,43.42,25.51,171.87
2024-06-14,S1_1,zone_1,10.0,28.33,54.0,5.89,44.18,25.16,172.99
2024-06-15,S1_1,zone_1,10.0,22.84,47.15,6.22,45.96,25.83,176.56
2024-06-16,S1_1,zone_1,10.0,26.89,59.22,5.96,46.03,26.29,181.02
2024-06-17,S1_1,zone_1,10.0,20.88,52.96,6.32,50.0,24.73,152.6
2024-06-18,S1_1,zone_1,10.0,26.06,65.0,6.14,50.0,24.05,139.75
2024-06-19,S1_1,zone_1,10.0,25.9,59.39,5.92,50.0,26.42,183.46
2024-06-20,S1_1,zone_1,10.0,31.61,73.82,6.1,49.15,20.84,156.74
2024-06-21,S1_1,zone_1,10.0,23.25,50.95,6.11,50.0,25.5,167.18
2024-06-22,S1_1,zone_1,10.0,30.38,44.44,5.89,50.0,24.02,170.27
2024-06-23,S1_1,zone_1,10.0,25.66,47.21,6.03,50.0,26.17,181.18
2024-06-24,S1_1,zone_1,10.0,33.49,47.67,5.88,48.58,23.47,192.07
2024-06-25,S1_1,zone_1,10.0,26.99,66.4,5.95,45.76,19.46,155.08
2024-06-26,S1_1,zone_1,10.0,27.61,58.44,6.06,44.95,29.58,197.05
2024-06-27,S1_1,zone_1,10.0,20.69,53.01,6.07,45.17,23.57,168.26
2024-06-28,S1_1,zone_1,10.0,31.55,61.34,6.03,44.29,27.8,173.12
2024-06-29,S1_1,zone_1,10.0,35.24,47.48,6.03,45.01,23.34,189.01
2024-06-30,S1_1,zone_1,10.0,25.07,58.71,6.27,44.49,29.75,178.83
2024-07-01,S1_1,zone_1,10.0,34.67,53.87,6.13,45.14,27.88,177.51
2024-07-02,S1_1,zone_1,10.0,34.67,44.99,6.17,43.23,25.16,183.99
2024-07-03,S1_1,zone_1,10.0,27.13,56.3,6.02,43.21,30.3,178.11
2024-07-04,S1_1,zone_1,10.0,33.28,65.99,5.81,42.69,24.35,187.79
2024-07-05,S1_1,zone_1,10.0,35.72,63.81,5.93,41.79,26.07,189.2
2024-07-06,S1_1,zone_1,10.0,34.58,64.43,6.28,42.08,23.97,158.41
2024-07-07,S1_1,zone_1,10.0,36.46,64.47,6.07,41.4,27.8,158.79
2024-07-08,S1_1,zone_1,10.0,30.59,63.74,5.87,41.4,20.9,191.33
2024-07-09,S1_1,zone_1,10.0,29.29,60.89,6.22,41.17,27.83,185.53
2024-07-10,S1_1,zone_1,10.0,22.16,59.07,5.93,42.26,23.06,163.55
2024-07-11,S1_1,zone_1,10.0,33.66,62.22,6.02,41.91,21.53,178.81
2024-07-12,S1_1,zone_1,10.0,37.08,54.0,5.92,39.82,25.89,151.52
2024-07-13,S1_1,zone_1,10.0,33.9,58.75,6.06,39.47,24.07,168.58
2024-07-14,S1_1,zone_1,10.0,24.74,58.22,5.96,40.06,22.33,154.57
2024-07-15,S1_1,zone_1,10.0,26.4,60.44,5.99,40.05,31.1,158.7
2024-07-16,S1_1,zone_1,10.08,25.46,68.86,6.21,40.17,27.69,163.08
2024-07-17,S1_1,zone_1,10.0,19.36,68.85,6.04,40.07,24.47,168.59
2024-07-18,S1_1,zone_1,10.0,32.98,62.4,5.94,38.76,23.64,185.53
2024-07-19,S1_1,zone_1,10.0,38.27,71.54,6.0,38.91,22.22,184.77
2024-07-20,S1_1,zone_1,10.0,30.37,53.72,6.12,39.19,29.74,164.33
2024-07-21,S1_1,zone_1,10.0,27.14,55.08,5.96,37.11,26.41,186.66
2024-07-22,S1_1,zone_1,10.0,34.55,46.17,6.45,36.32,24.48,194.69
2024-07-23,S1_1,zone_1,10.15,18.06,53.74,6.03,38.27,22.03,139.49
2024-07-24,S1_1,zone_1,10.0,33.76,61.84,5.94,37.96,23.58,160.83
2024-07-25,S1_1,zone_1,10.0,35.23,49.66,6.11,37.91,32.25,171.04
2024-07-26,S1_1,zone_1,10.0,35.04,56.24,5.97,37.72,24.0,159.68
2024-07-27,S1_1,zone_1,10.0,27.32,62.91,5.99,39.02,20.58,136.04
2024-07-28,S1_1,zone_1,10.0,28.9,50.34,6.0,38.5,20.76,190.47
2024-07-29,S1_1,zone_1,10.0,33.06,51.81,5.93,40.03,23.02,155.56
2024-07-30,S1_1,zone_1,10.0,29.69,57.83,6.0,40.71,22.53,201.66
2024-07-31,S1_1,zone_1,10.0,29.87,58.36,6.06,41.12,25.13,137.81
2024-08-01,S1_1,zone_1,10.0,28.05,45.37,6.1,39.99,25.1,170.72
2024-08-02,S1_1,zone_1,10.0,32.81,45.16,6.05,41.0,23.44,164.12
2024-08-03,S1_1,zone_1,10.0,21.62,51.82,5.86,41.95,21.81,163.71
2024-08-04,S1_1,zone_1,10.0,30.5,62.21,6.14,40.38,21.54,153.46
2024-08-05,S1_1,zone_1,10.0,35.7,44.8,5.91,40.7,23.64,182.97
2024-08-06,S1_1,zone_1,10.0,26.96,54.94,5.98,41.2,24.59,187.14
2024-08-07,S1_1,zone_1,10.0,25.3,52.87,6.3,39.37,22.51,147.28
2024-08-08,S1_1,zone_1,10.0,27.91,46.27,5.98,39.02,21.1,136.24
2024-08-09,S1_1,zone_1,10.0,27.5,65.78,6.16,36.13,19.28,157.78
2024-08-10,S1_1,zone_1,10.0,35.54,65.5,6.17,36.0,26.56,174.56
2024-08-11,S1_1,zone_1,10.0,31.92,48.8,6.23,38.66,24.25,168.51
2024-08-12,S1_1,zone_1,10.0,21.51,60.74,6.04,38.84,25.87,170.2
2024-08-13,S1_1,zone_1,10.0,34.82,52.11,5.9,39.92,27.63,157.88
2024-08-14,S1_1,zone_1,10.0,28.65,65.11,6.0,39.04,24.68,151.01
2024-08-15,S1_1,zone_1,10.0,27.37,63.91,5.92,38.55,22.89,178.69
2024-08-16,S1_1,zone_1,10.0,30.79,53.51,6.0,35.31,22.5,173.03
2024-08-17,S1_1,zone_1,10.0,22.44,57.69,6.28,34.73,26.67,143.76
2024-08-18,S1_1,zone_1,10.0,22.78,54.17,5.82,33.5,28.01,133.54
2024-08-19,S1_1,zone_1,10.0,20.93,68.66,6.35,35.34,21.7,208.87
2024-08-20,S1_1,zone_1,10.0,35.02,49.11,6.13,35.5,21.82,187.56
2024-08-21,S1_1,zone_1,10.0,22.36,63.62,5.96,36.28,24.27,149.77
2024-08-22,S1_1,zone_1,10.0,26.69,65.42,6.2,38.72,22.97,189.72
2024-08-23,S1_1,zone_1,10.0,25.16,64.94,5.9,39.38,23.57,159.07
2024-08-24,S1_1,zone_1,10.0,36.95,42.16,6.17,40.98,22.18,175.71
2024-08-25,S1_1,zone_1,10.0,37.31,49.9,6.05,39.26,26.7,152.65
2024-08-26,S1_1,zone_1,10.0,26.55,69.19,6.03,38.42,24.22,180.51
2024-08-27,S1_1,zone_1,10.0,21.81,56.44,5.92,37.58,26.51,159.39
2024-08-28,S1_1,zone_1,13.05,20.85,77.48,5.93,35.71,20.12,177.32
2024-08-29,S1_1,zone_1,10.76,21.71,64.86,5.91,35.93,24.04,138.46
2024-08-30,S1_1,zone_1,10.0,31.9,53.59,6.02,33.72,27.8,191.0
2024-08-31,S1_1,zone_1,10.0,22.83,60.1,6.01,33.87,24.42,153.85
2024-09-01,S1_1,zone_1,10.0,27.46,64.65,6.12,33.38,28.46,159.28
2024-09-02,S1_1,zone_1,10.0,20.18,62.63,6.26,33.66,20.94,170.96
2024-09-03,S1_1,zone_1,11.15,12.64,81.03,6.06,33.65,23.32,171.69
2024-09-04,S1_1,zone_1,11.57,17.49,75.89,6.15,33.28,19.3,158.35
2024-09-05,S1_1,zone_1,10.0,23.46,60.75,5.85,32.9,19.07,174.94
2024-09-06,S1_1,zone_1,11.14,17.75,78.18,5.71,32.59,28.95,146.21
2024-09-07,S1_1,zone_1,13.59,15.6,70.61,6.03,31.87,23.01,195.6
2024-09-08,S1_1,zone_1,11.34,24.97,63.58,6.09,30.67,19.91,157.59
2024-09-09,S1_1,zone_1,11.87,15.12,60.43,6.1,32.64,27.22,155.47
2024-09-10,S1_1,zone_1,11.07,18.91,72.0,6.06,32.07,23.15,163.19
2024-09-11,S1_1,zone_1,10.0,22.9,73.54,5.83,31.12,23.68,155.53
2024-09-12,S1_1,zone_1,10.0,17.16,66.12,6.12,30.97,21.79,153.53
2024-09-13,S1_1,zone_1,10.0,27.38,64.91,5.7,30.8,25.57,152.77
2024-09-14,S1_1,zone_1,10.0,16.62,67.59,6.05,32.12,30.0,158.38
2024-09-15,S1_1,zone_1,10.0,25.6,62.69,5.73,50.0,25.12,146.79
2024-09-16,S1_1,zone_1,10.0,24.54,65.89,5.81,49.86,19.7,178.2
2024-09-17,S1_1,zone_1,10.0,24.2,63.7,6.21,48.54,19.96,154.85
2024-09-18,S1_1,zone_1,11.29,17.62,78.57,5.96,50.0,26.85,224.99
2024-09-19,S1_1,zone_1,10.0,20.36,71.32,5.68,48.13,24.94,161.15
2024-09-20,S1_1,zone_1,10.0,24.46,46.84,5.97,50.0,16.91,169.64
2024-09-21,S1_1,zone_1,10.0,15.44,59.29,5.89,49.91,24.07,157.66
2024-09-22,S1_1,zone_1,10.0,27.45,65.41,6.11,50.0,24.35,161.74
2024-09-23,S1_1,zone_1,10.0,17.12,76.08,6.01,50.0,25.86,160.86
2024-09-24,S1_1,zone_1,11.01,22.59,75.34,6.05,48.96,23.8,149.82
2024-09-25,S1_1,zone_1,10.22,24.13,68.33,6.0,49.37,25.79,186.75
2024-09-26,S1_1,zone_1,10.0,19.79,62.1,5.81,49.48,26.98,152.18
2024-09-27,S1_1,zone_1,10.0,26.27,64.32,5.85,50.0,26.68,134.05
2024-09-28,S1_1,zone_1,11.36,18.94,74.56,6.22,47.57,26.05,163.04
2024-09-29,S1_1,zone_1,11.49,21.56,64.0,5.98,48.82,22.99,184.14
2024-09-30,S1_1,zone_1,10.0,19.18,62.2,5.94,50.0,29.53,199.67
2024-10-01,S1_1,zone_1,13.0,18.76,72.07,5.79,48.63,23.44,121.78
2024-10-02,S1_1,zone_1,11.38,26.78,64.78,5.94,47.32,27.87,162.59
2024-10-03,S1_1,zone_1,10.07,23.84,65.44,6.05,47.34,30.57,163.87
2024-10-04,S1_1,zone_1,10.0,25.85,62.45,5.83,47.23,25.85,169.58
2024-10-05,S1_1,zone_1,10.0,16.17,67.72,6.06,49.44,31.27,188.4
2024-10-06,S1_1,zone_1,10.0,20.21,75.77,5.9,50.0,25.63,163.91
2024-10-07,S1_1,zone_1,10.0,18.22,54.64,5.81,48.85,18.56,171.04
2024-10-08,S1_1,zone_1,10.0,14.41,67.87,6.04,49.19,26.97,158.21
2024-10-09,S1_1,zone_1,10.86,14.72,77.51,6.01,49.9,22.56,180.72
2024-10-10,S1_1,zone_1,10.57,25.13,70.57,6.15,45.87,24.41,143.1
2024-10-11,S1_1,zone_1,10.0,23.93,80.64,5.9,45.77,21.57,191.44
2024-10-12,S1_1,zone_1,10.0,14.4,63.46,6.02,44.15,24.56,164.6
2024-10-13,S1_1,zone_1,10.0,22.87,62.31,5.89,43.85,21.29,160.36
2024-10-14,S1_1,zone_1,10.0,27.74,67.44,6.13,44.07,20.94,175.04
2024-10-15,S1_1,zone_1,10.0,27.19,69.7,6.0,42.05,28.73,120.0
2024-10-16,S1_1,zone_1,10.0,22.66,68.45,5.9,40.21,26.87,192.24
2024-10-17,S1_1,zone_1,10.0,21.11,67.7,6.09,39.5,21.43,146.26
2024-10-18,S1_1,zone_1,11.14,12.38,71.14,6.1,41.03,25.06,163.43
2024-10-19,S1_1,zone_1,10.0,25.89,77.77,6.04,41.95,25.96,182.23
2024-10-20,S1_1,zone_1,10.0,25.23,65.47,5.9,41.31,28.68,182.1
2024-10-21,S1_1,zone_1,10.0,25.47,53.07,6.1,42.52,24.36,151.37
2024-10-22,S1_1,zone_1,10.0,23.49,78.16,5.84,42.09,25.49,150.21
