date,temperature,rainfall,humidity,solar_radiation,cloud_coverage,wind_speed,wind_direction
2024-02-04,9.56,0.0,70.84,317.03,19.95,8.19,72.63
2024-02-05,11.51,0.0,83.64,288.26,29.13,12.01,153.56
2024-02-06,19.04,0.0,72.36,313.72,55.15,9.47,101.59
2024-02-07,6.4,0.0,71.86,331.25,2.55,8.67,133.25
2024-02-08,18.56,4.16,67.85,343.76,10.39,8.26,22.05
2024-02-09,14.79,0.0,60.46,338.28,13.23,8.17,152.93
2024-02-10,8.88,0.0,76.53,283.26,0.0,11.89,83.36
2024-02-11,12.98,0.0,82.62,330.22,27.66,11.06,118.74
2024-02-12,9.71,4.3,70.78,336.6,9.18,10.02,82.06
2024-02-13,15.07,0.0,89.34,328.08,41.51,8.7,77.01
2024-02-14,16.38,0.0,78.29,311.63,0.0,9.82,90.48
2024-02-15,10.77,3.22,71.66,306.0,35.93,10.62,181.57
2024-02-16,13.4,0.0,72.96,310.07,25.59,9.91,91.94
2024-02-17,12.98,0.0,61.03,290.82,0.0,8.49,207.13
2024-02-18,10.69,0.0,62.52,320.73,0.0,11.89,159.69
2024-02-19,15.17,4.1,82.27,323.76,44.26,12.83,151.18
2024-02-20,10.66,0.0,79.65,353.55,32.11,9.56,51.05
2024-02-21,11.21,0.0,84.66,344.27,5.55,12.34,67.37
2024-02-22,14.15,5.78,74.12,349.92,21.93,8.53,74.38
2024-02-23,12.44,0.0,81.72,336.46,25.05,10.85,152.79
2024-02-24,12.01,0.0,80.65,350.03,5.34,8.03,159.01
2024-02-25,8.51,0.0,71.9,325.25,21.03,8.31,104.72
2024-02-26,12.68,0.0,66.77,332.71,0.0,8.99,50.7
2024-02-27,13.9,0.0,64.97,337.8,27.97,10.96,150.58
2024-02-28,16.13,0.0,72.86,334.69,0.0,8.58,163.24
2024-02-29,18.56,0.0,77.76,362.45,16.54,8.51,171.06
2024-03-01,16.74,0.0,65.12,342.08,13.11,10.08,94.89
2024-03-02,23.57,0.0,73.56,324.2,12.54,8.13,129.85
2024-03-03,24.77,3.92,71.68,374.77,0.0,8.62,45.71
2024-03-04,10.82,3.29,49.29,349.77,10.78,9.98,127.52
2024-03-05,13.08,0.0,72.45,330.91,31.57,8.14,113.39
2024-03-06,17.3,0.0,50.88,330.58,0.0,10.59,40.27
2024-03-07,25.8,0.0,73.78,328.61,0.0,9.66,222.62
2024-03-08,12.21,0.0,52.99,307.19,9.5,8.39,100.25
2024-03-09,13.91,2.82,55.59,331.72,0.0,13.36,139.71
2024-03-10,17.04,2.45,60.13,308.88,0.0,7.83,58.34
2024-03-11,16.53,3.0,66.42,337.15,9.62,12.55,64.22
2024-03-12,18.14,0.0,54.43,376.97,0.0,7.81,166.79
2024-03-13,9.61,0.0,58.76,371.65,3.21,12.29,116.94
2024-03-14,13.4,2.45,61.8,312.49,0.0,8.25,180.77
2024-03-15,10.93,0.0,70.88,355.21,0.0,11.08,58.52
2024-03-16,12.89,4.22,57.13,356.24,0.0,8.19,163.86
2024-03-17,27.96,0.0,56.92,367.14,0.0,8.16,51.84
2024-03-18,18.73,0.0,71.97,389.83,0.0,10.7,31.62
2024-03-19,10.45,0.0,58.92,316.0,0.0,11.6,115.23
2024-03-20,22.72,0.0,70.54,333.38,0.0,7.75,125.33
2024-03-21,24.14,0.0,67.49,336.23,2.02,11.42,153.07
2024-03-22,25.49,0.0,70.88,389.29,0.0,7.95,115.7
2024-03-23,24.48,2.42,62.72,348.81,17.02,8.54,90.48
2024-03-24,19.09,0.0,61.41,317.04,16.23,7.64,139.19
2024-03-25,17.63,2.06,52.0,382.76,1.16,8.51,153.28
2024-03-26,15.87,0.0,40.08,387.3,0.0,18.01,90.81
2024-03-27,21.27,3.53,54.93,323.3,0.0,7.56,152.92
2024-03-28,14.65,6.31,69.42,361.67,0.0,8.97,104.93
2024-03-29,23.94,0.0,68.96,334.55,0.0,7.76,223.12
2024-03-30,13.84,0.0,62.99,352.66,0.0,9.02,155.64
2024-03-31,14.77,5.82,58.52,346.02,0.0,9.71,116.16
2024-04-01,9.88,0.0,67.85,347.74,0.0,8.08,148.85
2024-04-02,16.29,0.0,70.04,333.12,0.0,9.44,100.01
2024-04-03,13.76,0.0,67.42,364.54,10.63,8.69,85.93
2024-04-04,16.32,0.0,60.57,347.31,0.0,9.5,129.52
2024-04-05,23.0,3.65,72.33,332.65,0.0,9.15,121.33
2024-04-06,15.9,0.0,71.38,335.91,0.0,8.73,85.21
2024-04-07,10.39,0.0,52.1,371.18,0.0,8.86,234.37
2024-04-08,19.86,0.0,56.88,358.93,8.68,9.55,72.99
2024-04-09,18.52,0.0,62.73,379.84,7.94,11.94,193.2
2024-04-10,20.1,4.39,84.73,343.59,0.0,10.49,57.59
2024-04-11,23.41,0.0,76.62,349.36,0.0,7.19,217.02
2024-04-12,23.46,0.0,65.31,371.66,0.0,8.19,199.9
2024-04-13,21.81,0.0,65.37,340.52,0.0,7.53,96.66
2024-04-14,20.81,0.0,76.7,366.29,0.0,10.05,169.1
2024-04-15,21.67,0.0,64.23,336.93,3.97,8.06,207.39
2024-04-16,17.43,0.0,61.42,308.86,4.92,12.81,193.69
2024-04-17,24.42,0.0,62.27,335.72,0.0,7.28,174.39
2024-04-18,13.67,0.0,75.05,327.17,24.84,8.21,123.84
2024-04-19,15.13,2.37,49.26,301.57,0.0,6.72,70.21
2024-04-20,22.6,0.0,65.33,334.32,7.97,7.83,129.57
2024-04-21,20.55,0.0,72.78,293.3,0.0,8.16,148.39
2024-04-22,18.23,2.36,67.19,322.19,0.0,10.18,197.36
2024-04-23,17.04,0.0,80.03,321.13,0.0,8.79,198.99
2024-04-24,21.95,0.0,61.75,284.71,0.0,8.32,127.3
2024-04-25,23.52,0.0,62.78,314.2,0.0,11.46,139.96
2024-04-26,15.97,0.0,72.14,337.67,0.0,6.85,36.58
2024-04-27,18.22,3.35,56.19,340.85,0.0,6.77,148.52
2024-04-28,11.7,0.0,61.01,313.65,0.0,7.51,70.88
2024-04-29,18.8,0.0,71.99,324.43,4.17,6.54,74.74
2024-04-30,21.37,0.0,68.23,293.7,0.0,9.21,163.73
2024-05-01,22.46,4.34,62.73,302.7,0.0,6.03,74.76
2024-05-02,25.24,0.0,57.18,294.66,0.0,10.52,175.4
2024-05-03,21.63,0.0,64.98,305.89,0.0,10.75,133.88
2024-05-04,12.28,0.0,49.47,270.02,0.0,9.57,166.17
2024-05-05,19.8,0.0,70.85,291.29,0.0,6.32,273.27
2024-05-06,23.62,4.24,55.21,283.89,0.0,5.97,62.11
2024-05-07,28.09,0.0,70.26,300.67,0.0,10.18,126.81
2024-05-08,23.56,0.0,51.71,305.07,0.0,8.86,128.72
2024-05-09,15.69,0.0,75.72,311.6,31.11,13.22,109.65
2024-05-10,12.3,0.0,70.18,331.23,0.0,6.43,84.04
2024-05-11,25.47,0.0,67.46,283.35,16.38,6.98,146.87
2024-05-12,24.96,0.0,69.9,296.2,0.0,9.45,116.59
2024-05-13,23.61,0.0,79.61,279.33,6.17,5.76,133.3
2024-05-14,20.44,1.21,66.74,263.5,0.81,5.77,152.07
2024-05-15,16.64,0.0,67.71,290.15,0.0,7.08,257.46
2024-05-16,13.4,0.0,66.93,303.88,0.0,6.78,114.86
2024-05-17,14.08,0.83,64.47,283.25,14.56,6.87,209.27
2024-05-18,16.98,0.0,65.97,270.55,0.0,21.57,166.7
2024-05-19,21.42,0.0,68.86,271.94,10.59,5.55,207.71
2024-05-20,14.99,0.0,60.25,279.78,0.0,7.17,85.81
2024-05-21,18.99,0.0,64.97,268.44,0.0,5.6,74.31
2024-05-22,13.66,0.0,69.94,228.73,0.0,5.9,96.56
2024-05-23,27.88,0.73,66.08,242.16,5.22,8.16,133.37
2024-05-24,18.2,0.68,57.8,271.16,0.0,11.25,183.5
2024-05-25,25.31,0.28,62.12,234.83,11.43,6.61,123.79
2024-05-26,22.45,0.0,70.3,265.65,0.0,5.1,234.09
2024-05-27,23.91,0.23,59.18,279.31,19.51,8.08,161.41
2024-05-28,20.78,3.23,66.18,254.9,23.97,5.01,145.06
2024-05-29,15.73,1.54,65.25,241.16,7.36,7.26,100.96
2024-05-30,20.34,0.0,67.75,253.77,8.26,6.0,138.69
2024-05-31,13.15,0.0,62.07,221.39,15.36,6.9,61.26
2024-06-01,31.39,0.0,44.91,248.63,3.61,4.57,5.3
2024-06-02,20.48,1.48,49.29,220.14,8.2,5.23,298.9
2024-06-03,30.61,4.02,62.75,238.28,2.8,8.09,31.83
2024-06-04,33.95,0.0,55.27,224.38,15.88,6.08,274.1
2024-06-05,33.16,1.29,60.87,246.27,5.78,4.92,338.34
2024-06-06,31.69,0.0,60.34,239.96,8.21,4.96,344.44
2024-06-07,24.46,0.0,43.45,229.72,4.71,9.05,357.99
2024-06-08,24.72,0.0,61.74,203.72,0.0,7.94,354.04
2024-06-09,22.68,0.0,43.57,261.94,19.1,11.1,337.63
2024-06-10,23.7,0.0,51.15,203.53,15.59,4.48,356.95
2024-06-11,35.05,0.0,56.32,278.85,0.0,4.12,304.56
2024-06-12,29.22,0.0,53.69,211.13,7.83,4.8,296.53
2024-06-13,21.04,0.0,71.05,214.6,5.1,4.62,6.45
2024-06-14,29.03,0.37,54.22,194.18,4.65,5.55,328.51
2024-06-15,22.47,0.0,46.44,250.04,25.03,4.48,288.29
2024-06-16,26.7,0.0,57.75,220.24,20.32,5.15,232.48
2024-06-17,20.95,0.0,51.81,239.08,0.0,3.89,348.81
2024-06-18,26.62,0.0,62.75,228.73,6.37,9.57,338.44
2024-06-19,26.02,0.0,55.66,215.8,18.38,4.16,293.31
2024-06-20,32.0,0.0,67.36,186.26,0.0,11.05,75.17
2024-06-21,22.81,1.18,48.0,186.56,32.41,4.71,323.0
2024-06-22,30.73,0.0,40.59,150.62,6.24,6.63,357.26
2024-06-23,25.37,0.0,44.2,189.28,18.82,4.51,288.1
2024-06-24,33.44,0.0,47.99,157.79,6.99,8.97,330.72
2024-06-25,26.84,0.0,64.1,173.05,43.73,7.07,343.56
2024-06-26,26.89,1.1,58.28,170.66,0.0,11.45,294.6
2024-06-27,20.83,0.7,46.74,194.52,31.95,6.22,352.42
2024-06-28,31.39,0.0,55.85,165.46,4.3,3.88,281.13
2024-06-29,35.02,0.0,43.72,181.06,3.84,6.61,318.3
2024-06-30,24.85,0.0,53.54,177.25,1.52,4.94,349.98
2024-07-01,33.93,0.0,52.79,153.79,3.51,3.97,303.64
2024-07-02,34.69,0.0,44.99,146.77,1.35,3.87,318.04
2024-07-03,27.07,0.0,52.93,175.1,29.24,9.2,308.08
2024-07-04,33.69,2.56,63.89,129.86,5.01,4.35,24.26
2024-07-05,36.07,0.0,58.18,149.04,16.74,6.55,326.82
2024-07-06,34.28,2.31,63.1,194.53,13.31,3.76,266.59
2024-07-07,36.11,0.55,60.69,138.32,15.82,7.83,299.07
2024-07-08,31.03,0.0,62.5,161.21,37.43,4.64,282.55
2024-07-09,29.47,0.0,58.24,156.97,38.8,5.4,338.46
2024-07-10,22.08,0.0,54.4,155.58,30.94,4.31,286.58
2024-07-11,33.21,0.0,56.06,162.22,26.78,7.56,2.21
2024-07-12,37.78,3.8,49.63,186.88,0.0,2.71,353.45
2024-07-13,33.94,0.0,52.71,132.33,12.54,5.19,243.15
2024-07-14,24.78,0.0,57.81,139.91,16.97,3.15,355.07
2024-07-15,25.95,0.0,59.43,128.94,16.06,6.6,280.56
2024-07-16,25.85,0.0,65.32,118.05,11.1,3.29,356.91
2024-07-17,19.14,1.67,65.25,147.94,33.69,4.75,303.29
2024-07-18,32.89,0.0,59.31,155.47,45.93,3.29,300.29
2024-07-19,37.96,1.91,67.87,178.17,27.52,5.33,345.53
2024-07-20,30.69,0.0,51.99,148.67,26.32,2.54,53.46
2024-07-21,27.18,0.0,55.69,130.59,38.04,5.62,314.94
2024-07-22,34.64,0.0,42.53,97.55,25.83,3.39,12.5
2024-07-23,17.94,4.5,51.14,146.8,54.3,2.52,270.77
2024-07-24,33.34,0.0,57.8,124.06,43.63,4.87,353.49
2024-07-25,34.91,0.0,49.23,101.85,29.18,4.51,314.84
2024-07-26,34.85,0.0,54.32,97.54,27.01,3.93,50.96
2024-07-27,27.19,0.0,57.32,116.21,33.49,3.36,352.77
2024-07-28,29.08,0.0,47.11,119.01,32.1,5.35,278.97
2024-07-29,33.17,0.0,47.77,132.18,24.89,6.69,242.55
2024-07-30,30.06,1.93,53.74,112.94,29.61,9.27,306.26
2024-07-31,29.66,1.92,54.98,107.56,39.91,4.55,323.26
2024-08-01,28.65,0.0,41.79,111.82,38.45,8.58,13.53
2024-08-02,32.44,0.0,42.4,78.38,37.54,2.62,90.83
2024-08-03,21.64,0.0,49.14,93.63,35.57,2.65,359.92
2024-08-04,30.22,0.0,63.21,54.74,64.49,4.21,315.19
2024-08-05,35.4,0.0,44.69,93.57,30.95,3.81,275.96
2024-08-06,27.44,0.0,48.55,79.13,40.13,2.9,316.35
2024-08-07,25.28,2.11,47.64,81.23,46.17,2.84,33.87
2024-08-08,27.92,0.0,42.68,106.44,53.59,9.96,286.06
2024-08-09,27.15,0.0,62.25,90.28,51.54,6.78,314.47
2024-08-10,35.43,0.0,63.69,76.42,72.18,3.5,4.31
2024-08-11,32.12,0.0,48.12,104.06,56.2,2.55,44.9
2024-08-12,21.64,0.0,57.63,95.06,65.0,2.31,262.98
2024-08-13,34.98,0.94,49.28,85.96,43.7,6.86,349.21
2024-08-14,28.5,0.0,62.44,92.45,46.1,7.25,359.14
2024-08-15,27.13,0.0,61.99,71.57,51.94,6.83,275.57
2024-08-16,30.95,3.21,47.91,72.52,30.96,5.92,286.04
2024-08-17,22.53,0.0,53.11,115.11,36.08,5.35,17.79
2024-08-18,22.93,1.07,50.98,91.22,35.49,3.38,37.25
2024-08-19,20.19,0.0,64.92,89.97,65.29,4.45,326.26
2024-08-20,35.04,0.0,48.47,79.5,52.3,8.5,352.58
2024-08-21,22.78,1.96,62.1,79.2,64.93,2.54,26.05
2024-08-22,26.49,1.15,60.81,80.36,74.15,2.51,12.4
2024-08-23,24.85,0.0,60.43,68.79,49.84,2.4,346.02
2024-08-24,36.84,0.0,45.32,60.78,48.9,4.03,59.16
2024-08-25,37.63,0.0,47.95,50.0,45.45,2.66,290.38
2024-08-26,27.01,0.0,63.08,58.59,49.35,3.96,336.99
2024-08-27,21.39,0.0,54.3,50.64,41.0,3.09,303.56
2024-08-28,20.53,3.1,72.63,79.84,65.29,2.44,345.54
2024-08-29,21.34,0.0,61.29,74.73,39.37,3.73,44.69
2024-08-30,31.94,3.52,53.16,50.0,65.73,5.32,319.64
2024-08-31,22.68,3.12,58.15,112.65,44.48,2.7,53.12
2024-09-01,27.8,1.41,64.09,72.47,51.98,2.19,125.38
2024-09-02,19.89,0.0,59.21,56.04,70.34,3.41,136.25
2024-09-03,12.9,0.0,80.53,62.59,63.38,3.95,287.52
2024-09-04,17.35,2.82,74.2,76.21,45.65,5.33,158.12
2024-09-05,23.22,0.0,59.89,50.0,78.22,2.62,199.24
2024-09-06,18.05,5.82,74.94,60.06,48.72,3.6,146.53
2024-09-07,15.33,5.18,69.88,61.05,49.82,2.35,216.94
2024-09-08,24.41,0.0,60.61,50.0,65.45,2.35,99.07
2024-09-09,15.08,4.72,60.88,50.0,63.25,3.08,169.28
2024-09-10,19.12,2.65,69.52,80.07,53.02,2.73,41.85
2024-09-11,22.61,2.24,70.97,93.84,33.79,3.48,235.85
2024-09-12,16.99,0.0,60.05,62.95,75.6,4.9,84.99
2024-09-13,27.34,2.61,62.76,72.36,60.4,5.27,98.73
2024-09-14,16.47,2.48,63.76,50.0,54.98,5.38,109.22
2024-09-15,25.83,0.0,62.06,50.0,63.67,3.16,165.49
2024-09-16,25.04,0.0,66.36,56.78,73.69,4.42,197.67
2024-09-17,23.63,2.37,60.16,50.0,58.81,4.06,158.54
2024-09-18,17.35,0.0,76.51,50.0,72.69,6.53,152.53
2024-09-19,20.72,2.02,65.16,57.0,51.44,4.09,164.89
2024-09-20,24.69,0.0,45.98,58.86,92.08,2.82,198.94
2024-09-21,15.35,5.77,56.75,50.0,70.9,5.13,117.45
2024-09-22,27.28,3.78,60.18,50.0,96.58,3.28,152.16
2024-09-23,17.08,0.0,72.31,57.39,78.11,2.65,215.01
2024-09-24,22.94,0.0,74.58,53.48,55.79,7.17,161.15
2024-09-25,24.11,6.93,67.56,53.74,75.04,3.7,179.11
2024-09-26,19.88,0.0,56.38,71.69,74.54,4.39,160.05
2024-09-27,26.08,0.0,60.09,50.0,79.37,4.9,97.28
2024-09-28,19.05,3.76,72.33,50.0,67.4,4.17,100.04
2024-09-29,21.61,0.0,60.18,50.0,81.25,7.55,85.88
2024-09-30,19.12,0.0,57.47,50.0,63.15,4.64,50.04
2024-10-01,18.92,8.04,67.33,50.0,70.73,4.75,93.51
2024-10-02,26.38,0.0,60.53,65.32,60.33,2.97,66.24
2024-10-03,23.99,0.0,65.38,50.0,75.17,9.66,181.72
2024-10-04,25.53,0.0,59.61,113.63,57.52,4.92,127.54
2024-10-05,16.41,0.0,66.49,50.0,48.26,4.23,323.74
2024-10-06,20.44,0.0,71.55,70.77,56.89,3.79,127.05
2024-10-07,18.22,3.11,53.56,89.37,61.03,3.19,75.72
2024-10-08,14.6,0.0,69.1,50.0,44.32,7.99,52.87
2024-10-09,14.57,3.63,74.73,50.0,65.49,5.82,174.05
2024-10-10,25.05,0.0,68.99,50.0,60.08,3.7,95.09
2024-10-11,23.94,0.0,76.22,50.0,86.0,4.32,48.28
2024-10-12,14.3,0.0,60.55,56.2,62.66,3.75,160.35
2024-10-13,23.24,0.0,58.28,63.01,49.3,8.07,137.28
2024-10-14,27.45,0.0,60.78,82.22,60.5,5.45,224.69
2024-10-15,27.38,0.0,68.13,50.0,62.37,11.13,47.72
2024-10-16,22.95,0.0,62.57,69.77,79.7,3.79,176.86
2024-10-17,20.88,0.0,63.38,66.32,59.02,3.63,228.19
2024-10-18,12.05,0.0,67.45,92.86,75.99,4.57,63.77
2024-10-19,25.65,0.0,74.74,63.35,96.01,5.02,172.78
2024-10-20,25.31,0.0,59.51,62.55,64.61,4.83,216.83
2024-10-21,25.62,0.0,49.17,63.12,100.0,4.35,146.72
2024-10-22,23.48,0.0,76.71,114.65,73.72,8.68,117.17
2024-10-23,23.92,4.6,55.66,87.22,70.68,5.45,193.85
2024-10-24,18.69,3.43,67.03,80.12,70.99,9.83,99.69
2024-10-25,26.8,0.0,77.11,102.39,55.14,6.1,247.71
2024-10-26,28.8,0.0,62.83,53.98,67.71,8.59,83.16
2024-10-27,27.57,0.0,72.92,101.65,69.43,5.41,150.1
2024-10-28,19.4,0.0,70.4,93.0,87.81,5.7,135.05
2024-10-29,13.67,8.26,65.39,108.53,63.18,4.74,136.76
2024-10-30,25.92,0.0,52.03,80.06,66.52,4.0,191.72
2024-10-31,18.82,0.0,67.45,88.83,54.8,5.01,188.02
2024-11-01,14.59,0.0,64.96,132.09,60.67,4.11,157.02
2024-11-02,15.89,0.0,54.39,103.14,80.09,5.02,65.17
2024-11-03,29.82,0.0,55.69,50.0,61.55,7.69,80.55
2024-11-04,20.91,0.0,64.58,72.93,37.72,11.06,127.89
2024-11-05,18.63,4.89,69.95,72.07,64.41,4.69,238.46
2024-11-06,27.99,0.0,60.84,109.71,58.74,7.72,222.48
2024-11-07,21.48,4.5,70.08,94.44,89.65,4.97,15.54
2024-11-08,23.13,0.0,52.8,96.43,78.36,6.4,73.12
2024-11-09,18.79,5.8,67.97,108.61,90.46,5.19,225.18
2024-11-10,16.38,0.0,71.84,110.62,53.34,11.18,127.87
2024-11-11,17.31,4.68,73.67,135.08,66.46,5.15,68.42
2024-11-12,17.74,5.51,52.67,89.53,84.09,4.65,133.58
2024-11-13,25.92,0.0,58.35,95.67,92.43,9.12,127.55
2024-11-14,21.3,4.06,73.67,119.63,55.15,10.8,92.34
2024-11-15,20.97,9.29,56.22,111.41,65.84,5.65,279.18
2024-11-16,14.23,0.0,69.77,67.65,54.76,9.27,272.49
2024-11-17,22.45,5.71,75.36,113.34,53.68,5.13,133.85
2024-11-18,18.55,0.0,54.1,133.78,40.85,7.13,119.08
2024-11-19,26.19,0.0,61.5,131.45,63.75,6.59,250.02
2024-11-20,20.7,0.0,61.84,119.58,64.48,7.93,204.26
2024-11-21,15.39,0.0,71.8,130.85,92.3,6.04,136.15
2024-11-22,22.32,4.89,66.98,109.21,71.67,7.3,111.78
2024-11-23,28.54,0.0,76.5,153.58,66.66,7.24,151.66
2024-11-24,21.53,0.0,54.2,142.4,68.53,5.35,58.46
2024-11-25,27.79,4.35,56.7,72.68,45.4,10.51,117.05
2024-11-26,19.89,4.63,69.03,130.96,83.39,7.12,125.42
2024-11-27,26.24,0.0,59.97,154.98,61.36,6.56,119.36
2024-11-28,19.74,0.0,70.52,123.2,57.76,9.54,93.52
2024-11-29,14.29,0.0,76.01,143.86,46.64,6.72,207.69
2024-11-30,20.61,0.0,63.62,152.21,75.73,6.29,180.88
2024-12-01,13.02,0.0,71.92,165.57,68.23,6.58,139.06
2024-12-02,10.5,0.0,81.78,162.24,77.44,8.72,169.48
2024-12-03,14.75,4.32,74.58,167.87,71.75,5.96,260.92
2024-12-04,12.6,0.0,80.69,161.49,71.73,7.16,67.84
2024-12-05,18.03,0.0,67.65,145.74,66.12,6.49,141.64
2024-12-06,13.55,0.0,84.91,170.5,63.44,6.39,132.46
2024-12-07,15.8,0.0,74.65,142.16,37.59,10.72,184.09
2024-12-08,17.5,5.71,80.63,159.27,61.93,6.03,202.3
2024-12-09,15.68,0.0,72.87,146.63,64.21,6.85,196.39
2024-12-10,9.56,3.99,68.57,157.2,41.25,7.69,65.67
2024-12-11,17.87,4.8,62.57,180.23,61.13,7.56,102.61
2024-12-12,11.61,0.0,76.72,146.73,65.17,6.39,162.48
2024-12-13,13.25,0.0,75.28,200.33,59.96,6.24,152.88
2024-12-14,6.91,0.0,77.05,184.19,60.26,7.22,231.4
2024-12-15,19.16,0.0,79.53,184.73,47.32,7.19,79.4
2024-12-16,13.25,0.0,79.91,200.42,50.93,7.63,152.03
2024-12-17,13.55,0.0,74.76,229.41,51.72,10.63,88.09
2024-12-18,12.45,0.0,80.71,180.83,60.69,7.39,191.32
2024-12-19,13.77,0.0,73.41,237.48,75.43,8.34,102.93
2024-12-20,8.7,4.24,68.3,209.18,47.0,7.66,233.04
2024-12-21,11.73,4.08,67.75,214.68,37.3,9.78,257.28
2024-12-22,12.0,0.0,79.34,202.99,24.68,7.05,78.26
2024-12-23,19.32,0.0,77.41,215.22,39.7,7.07,149.33
2024-12-24,11.63,0.0,74.73,243.33,50.61,7.55,173.44
2024-12-25,8.38,0.0,77.92,201.44,66.97,7.95,163.57
2024-12-26,8.46,0.0,68.22,222.1,71.92,6.93,145.65
2024-12-27,12.81,0.0,79.2,195.6,11.19,6.85,154.87
2024-12-28,5.56,4.52,81.62,200.73,61.07,6.95,163.01
2024-12-29,9.63,0.0,91.07,187.28,46.31,10.68,100.46
2024-12-30,16.85,0.0,74.8,184.85,41.79,10.37,163.03
2024-12-31,13.2,5.2,73.14,200.48,43.59,11.42,130.92
2025-01-01,14.34,0.0,69.77,234.23,62.13,8.82,38.67
2025-01-02,8.34,0.0,69.29,200.77,51.17,7.74,180.01
2025-01-03,11.72,0.0,66.33,243.87,37.99,10.33,220.22
2025-01-04,15.52,0.0,68.67,230.85,48.06,8.03,45.9
2025-01-05,18.1,8.28,78.06,260.5,61.47,8.62,68.86
2025-01-06,14.43,0.0,80.92,254.01,24.4,8.36,108.6
2025-01-07,9.97,0.0,80.29,237.61,33.34,8.41,117.13
2025-01-08,9.1,4.73,71.18,237.37,45.24,8.88,153.91
2025-01-09,12.37,3.9,84.41,276.58,41.43,10.66,137.3
2025-01-10,18.86,0.0,74.09,258.92,55.14,11.03,52.47
2025-01-11,18.04,0.0,72.07,265.64,21.44,8.09,77.38
2025-01-12,9.12,5.91,64.7,285.51,19.05,8.87,146.13
2025-01-13,12.24,4.47,78.09,278.85,15.5,9.03,127.22
2025-01-14,14.41,0.0,71.05,265.01,43.53,7.69,153.43
2025-01-15,6.72,0.0,77.06,242.8,14.99,8.05,160.02
2025-01-16,9.59,0.0,76.22,264.66,37.13,7.78,173.07
2025-01-17,12.68,0.0,70.85,270.98,5.61,8.05,130.28
2025-01-18,13.59,3.97,66.15,272.56,28.95,8.55,169.34
2025-01-19,16.8,0.0,62.5,291.16,27.34,15.15,21.86
